YEAR,MO,DY,T2M,PRECTOTCORR,PS,WS10M_MAX,WS50M_MAX,WD50M,TS,T2M_MAX
1996,1,1,19.01,6.98,97.02,4.97,7.24,61.75,19.69,23.65
1996,1,2,18.15,4.5,97.05,5.24,7.9,64.5,18.73,23.72
1996,1,3,19.18,0.22,97.07,5.19,8.09,66.81,20.12,26
1996,1,4,19.67,0.08,96.87,5.46,8.83,75.31,20.55,27.44
1996,1,5,21.07,0,96.65,5.26,8.06,119.75,21.65,29.34
1996,1,6,20.9,0.13,96.71,5.2,7.7,107.56,21.85,28.54
1996,1,7,20.53,0,96.84,6.31,8.2,53.19,21.51,28.19
1996,1,8,20.83,0,96.93,6.29,8.04,66.75,21.81,29.19
1996,1,9,22.03,0.24,96.79,4.59,7.7,162.06,22.91,30.52
1996,1,10,22.15,0.03,96.7,4.7,7.5,186.94,22.87,29.22
1996,1,11,20.84,0,96.65,4.61,7.62,89.88,22.08,29.29
1996,1,12,21.8,0,96.65,4.9,7.58,140.94,22.24,29.65
1996,1,13,22.48,0,96.61,3.62,5.66,160.81,23.12,31.4
1996,1,14,21.86,0,96.34,5.38,8.06,266.62,22.51,31.04
1996,1,15,20.94,0.15,96.3,7.35,8.91,252.25,21.89,28.37
1996,1,16,19.2,0.16,96.59,4.02,8.33,289.81,20.28,27.81
1996,1,17,17.59,0.94,96.85,4.57,8.65,178.38,18.62,27.8
1996,1,18,17.43,0,96.87,5.32,8.59,130.19,18.27,28.4
1996,1,19,17.96,0,96.77,5.05,8.27,111.38,18.83,29.12
1996,1,20,17.96,0,96.7,3.73,8.16,147.75,18.83,29.02
1996,1,21,18.97,0,96.74,4.84,8.64,108.94,19.15,29
1996,1,22,20.19,0,96.83,3.06,5.08,177.94,19.65,30.44
1996,1,23,21.41,0,96.94,6.19,9.53,99.12,22.11,31.92
1996,1,24,20.67,0,96.94,6.06,8.96,63.88,21.34,30.21
1996,1,25,21.49,0,96.73,4.88,7.43,168.81,22.26,32.27
1996,1,26,21.37,0,96.59,3.35,6.73,181.75,22.19,31.13
1996,1,27,21.65,0,96.65,3.87,7.22,169.06,22.48,31.51
1996,1,28,22.53,0,96.78,5.65,8.46,118.56,23.44,32.35
1996,1,29,21.23,0,96.91,6.56,9.3,91.06,22.47,31.26
